source,target
ILC precursor,"endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:Langerhans cell:group 3 innate lymphoid cell:group 2 innate lymphoid cell:ILC1:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:granule cell precursor:immature dendritic epithelial T cell precursor:adult skeletal muscle myoblast:yolk sac hematopoietic stem cell:|||:common dendritic progenitor:CD7-negative lymphoid progenitor cell:CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor:muscle precursor cell"
Kupffer Cell,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:Kupffer cell:R3 photoreceptor cell:R2 photoreceptor cell:R7 photoreceptor cell:|||:Kupffer cell:cartwheel heterochromatin:precursor B cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:sperm:Mueller cell:pore cell:Feyrter cell"
Late Erythroid,"endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:mesodermal cell:|||:orthochromatic erythroblast:CD34-positive, GlyA-negative erythroid progenitor cell:erythrocyte:polychromatophilic erythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:nucleate erythrocyte:enucleate erythrocyte:primitive red blood cell:erythroid progenitor cell, mammalian:|||:primitive erythroid progenitor:Kit-positive erythroid progenitor cell:CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell:Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell"
MEMP,"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:fetal liver hematopoietic progenitor cell:liver dendritic cell:Kupffer cell:type II pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:megakaryocyte-erythroid progenitor cell:CD8-positive, alpha-beta memory T cell:CD4-positive, alpha-beta memory T cell:early lymphoid progenitor:|||:double negative memory B cell:CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell:CD4-positive, alpha-beta memory T cell, CD45RO-positive:CD8-positive, alpha-beta memory T cell, CD45RO-positive"
Mast cell,"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:T cell:mast cell:fat cell:mucosal type mast cell:|||:mast cell:cartwheel heterochromatin:eosinophilic promyelocyte:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:non-terminally differentiated cell:connective tissue type mast cell:M cell of gut:basket cell"
Megakaryocyte,"intrahepatic cholangiocyte:mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:|||:megakaryocyte:CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell:CD9-positive, CD41-positive megakaryocyte cell:CD34-negative, CD41-positive, CD42-positive megakaryocyte cell:|||:megakaryocyte:cartwheel heterochromatin:precursor B cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:megakaryocyte progenitor cell:primitive reticulocyte:fetal derived definitive erythrocyte:muscle cell"
Mid Erythroid,"endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:mesodermal cell:epithelial cell of alimentary canal:|||:erythrocyte:megakaryocyte-erythroid progenitor cell:erythroid progenitor cell:CD34-positive, GlyA-negative erythroid progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:primitive red blood cell:erythroid progenitor cell, mammalian:erythrophore:erythroblast:|||:primitive erythroid progenitor:Kit-positive erythroid progenitor cell:primitive erythroid lineage cell:orthochromatic erythroblast"
Mono-Mac,"mesodermal cell:intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:|||:mast cell progenitor:intraepithelial lymphocyte:CD14-low, CD16-positive monocyte:multi-ciliated epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:monocyte:CD14-positive monocyte:monoblast:promonocyte:|||:pericyte cell:mesenchymal stem cell:professional antigen presenting cell:myeloid dendritic cell"
Monocyte,"intrahepatic cholangiocyte:mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:|||:CD14-positive monocyte:monocyte:oncocyte:CD14-positive, CD16-negative classical monocyte:|||:monocyte:cartwheel heterochromatin:precursor B cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:primordial germ cell:ionocyte:oenocyte:oocyte"
Monocyte precursor,"endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:mesodermal cell:epithelial cell of alimentary canal:|||:monocyte:CD14-positive monocyte:oncocyte:oenocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common lymphoid progenitor:granulocyte monocyte progenitor cell:oligodendrocyte precursor cell:common myeloid progenitor:|||:CD34-positive, CD38-positive common lymphoid progenitor:Kit-positive, Sca1-positive common lymphoid progenitor:ionocyte:primordial germ cell"
NK,"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:pro-NK cell:liver dendritic cell:Kupffer cell:Ly49CI-negative natural killer cell, mouse:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:immature natural killer cell:CD56-positive, CD161-positive immature natural killer cell, human:CD56-negative, CD161-positive immature natural killer cell, human:NK1.1-positive natural killer cell, mouse:|||:Ly49D-positive natural killer cell, mouse:CD4-positive type I NK T cell secreting interleukin-4:CD94-negative, Ly49CI-negative natural killer cell, mouse:CD94-positive natural killer cell, mouse"
Neutrophil-myeloid progenitor,"epithelial cell of alimentary canal:intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:mesodermal cell:|||:neutrophil:myeloid lineage restricted progenitor cell:band form neutrophil:neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophil progenitor cell:early lymphoid progenitor:common myeloid progenitor:neutrophilic promyelocyte:|||:megakaryocyte-erythroid progenitor cell:lymphoid lineage restricted progenitor cell:oncocyte:mast cell progenitor"
Pre pro B cell,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:Fraction A pre-pro B cell:B cell:pro-B cell:follicular B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:precursor B cell:late pro-B cell:early pro-B cell:large pre-B-II cell"
VCAM1+ EI macrophage,"intrahepatic cholangiocyte:mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:|||:macrophage:alternatively activated macrophage:inflammatory macrophage:elicited macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:microglial cell:Kupffer cell:central nervous system macrophage:meningeal macrophage:|||:thymic macrophage:tissue-resident macrophage:melanophage:splenic macrophage"
pDC precursor,"endothelial cell of hepatic sinusoid:mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:plasmacytoid dendritic cell:immature dendritic epithelial T cell precursor:mature dendritic epithelial T cell precursor:granule cell precursor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:muscle precursor cell:Schwann cell precursor:common lymphoid progenitor:precursor B cell:|||:Fraction B/C precursor B cell:common myeloid progenitor, CD34-positive:common myeloid progenitor:adult skeletal muscle myoblast"
pre-B cell,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:precursor B cell:B cell:pre-B-I cell:pre-B-II cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pro-B cell:pre-natural killer cell:pore cell:pro-NK cell"
pro-B cell,mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:pro-B cell:B cell:pro-T cell:precursor B cell:|||:pro-B cell:cartwheel heterochromatin:immature B cell:gamma-delta intraepithelial T cell:|||:pre-B-I cell:pro-NK cell:pre-B-II cell:late pro-B cell
