source,target
ILC3,"decidual cell:placental villous trophoblast:epithelial cell of uterus:mesodermal cell:|||:group 3 innate lymphoid cell:placental villus capillary endothelial cell:placental epithelial cell:ILC1:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 2 innate lymphoid cell:Langerhans cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:intraepithelial lymphocyte"
MO,"mesodermal cell:uterine smooth muscle cell:decidual cell:placental villous trophoblast:|||:placental hematopoietic stem cell:placental epithelial cell:placental amniotic mesenchymal stromal cell:placental villus capillary endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:muscle cell:myotube:macrophage dendritic cell progenitor:mucosal type mast cell:|||:smooth muscle cell of the coronary artery:unswitched memory B cell:CD69-positive double-positive thymocyte:pulmonary interstitial fibroblast"
NK CD16+,"decidual cell:mesodermal cell:uterine smooth muscle cell:placental villous trophoblast:|||:pancreatic stellate cell:conventional dendritic cell:professional antigen presenting cell:pro-NK cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD16-positive myeloid dendritic cell:natural killer cell:decidual natural killer cell, human:mucous neck cell:|||:common dendritic progenitor:CD14-low, CD16-positive monocyte:CD14-positive, CD16-low monocyte:T-helper 17 cell"
NK CD16-,"decidual cell:mesodermal cell:uterine smooth muscle cell:placental villous trophoblast:|||:pancreatic stellate cell:conventional dendritic cell:endothelial cell of lymphatic vessel:pro-NK cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD16-positive myeloid dendritic cell:CD1a-positive Langerhans cell:natural killer cell:decidual natural killer cell, human:|||:mature CD16-positive myeloid dendritic cell:immature CD16-positive myeloid dendritic cell:CD14-low, CD16-positive monocyte:CD14-positive, CD16-positive monocyte"
Plasma,"mesodermal cell:decidual cell:placental villous trophoblast:epithelial cell of uterus:|||:pancreatic stellate cell:lymph gland plasmatocyte:placental amniotic mesenchymal stromal cell:placental hematopoietic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasma cell:plasmablast:plasmatocyte:IgA plasmablast:|||:IgE short lived plasma cell:IgM plasmablast:IgD plasmablast:IgE plasmablast"
SCT,"placental villous trophoblast:mesodermal cell:decidual cell:uterine smooth muscle cell:|||:bronchioalveolar stem cell:pancreatic stellate cell:placental pericyte:placental hematopoietic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell:mucosal type mast cell:neuronal stem cell:hematopoietic stem cell:|||:peripheral blood stem cell:embryonic stem cell:long term hematopoietic stem cell:endosteal cell"
Tcells,"decidual cell:mesodermal cell:epithelial cell of uterus:uterine smooth muscle cell:|||:Kolmer-Agduhr neuron:M cell of gut:type N enteroendocrine cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T cell:hepatic stellate cell:pro-T cell:Tr1 cell:|||:CD8-positive, alpha-beta regulatory T cell:CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell:interneuromast cell:olfactory epithelial support cell"
VCT,"placental villous trophoblast:mesodermal cell:decidual cell:epithelial cell of uterus:|||:placental villus capillary endothelial cell:placental hematopoietic stem cell:placental amniotic mesenchymal stromal cell:placental epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mucosal type mast cell:vascular associated smooth muscle cell:cortical thymic epithelial cell:connective tissue type mast cell:|||:fibroblast of connective tissue of prostate:adrenocorticotropic hormone secreting cell:B-1b B cell:B-1a B cell"
dM1,"mesodermal cell:decidual cell:uterine smooth muscle cell:epithelial cell of alimentary canal:|||:placental amniotic mesenchymal stromal cell:placental villus capillary endothelial cell:placental villous trophoblast:placental hematopoietic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:CD1a-positive Langerhans cell:CD16-positive myeloid dendritic cell:pro-T cell:|||:CD103-positive dendritic cell:CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor:lymphocyte of B lineage, CD19-positive:B cell, CD19-positive"
dM2,"mesodermal cell:decidual cell:uterine smooth muscle cell:chorionic membrane mesenchymal stem cell:|||:placental amniotic mesenchymal stromal cell:placental villus capillary endothelial cell:placental hematopoietic stem cell:placental pericyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:DN2 thymocyte:conidium:CD16-positive myeloid dendritic cell:|||:myeloid dendritic cell:CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell:mature Vgamma2-positive fetal thymocyte:immature Vgamma2-positive thymocyte"
dM3,"mesodermal cell:decidual cell:uterine smooth muscle cell:chorionic membrane mesenchymal stem cell:|||:placental amniotic mesenchymal stromal cell:placental villous trophoblast:pancreatic stellate cell:placental villus capillary endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:DN3 thymocyte:conidium:CD16-positive myeloid dendritic cell:myeloid dendritic cell:|||:CD34-positive, CD38-positive common lymphoid progenitor:smooth muscle fiber of ileum:CD38-negative naive B cell:CD38-positive naive B cell"
dNK p,"decidual cell:mesodermal cell:placental villous trophoblast:uterine smooth muscle cell:|||:pancreatic stellate cell:placental amniotic mesenchymal stromal cell:placental pericyte:placental epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pro-NK cell:decidual natural killer cell, human:NK1.1-positive natural killer cell, mouse:macrophage dendritic cell progenitor:|||:megakaryocyte progenitor cell:choroid plexus epithelial cell:epithelial cell of distal tubule:kidney inner medulla collecting duct epithelial cell"
dNK1,"decidual cell:mesodermal cell:uterine smooth muscle cell:placental villous trophoblast:|||:placental amniotic mesenchymal stromal cell:pancreatic stellate cell:placental epithelial cell:placental villus capillary endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pro-NK cell:conventional dendritic cell:decidual natural killer cell, human:pro-T cell:|||:immature NK T cell stage IV:immature NK T cell stage III:immature NK T cell stage II:Dx5-negative, NK1.1-positive immature natural killer cell, mouse"
dNK2,"decidual cell:mesodermal cell:uterine smooth muscle cell:placental villous trophoblast:|||:placental amniotic mesenchymal stromal cell:pancreatic stellate cell:placental villus capillary endothelial cell:placental hematopoietic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pro-NK cell:plasmacytoid dendritic cell:CD56-negative, CD161-positive immature natural killer cell, human:decidual natural killer cell, human:|||:DN2 thymocyte:DN2a thymocyte:DN2b thymocyte:immature natural killer cell"
dNK3,"mesodermal cell:decidual cell:uterine smooth muscle cell:placental villous trophoblast:|||:placental amniotic mesenchymal stromal cell:pancreatic stellate cell:placental epithelial cell:placental villus capillary endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pro-NK cell:decidual natural killer cell, human:immature natural killer cell:CD56-positive, CD161-positive immature natural killer cell, human:|||:DN3 thymocyte:CD56-negative, CD161-positive immature natural killer cell, human:DN2 thymocyte:kidney collecting duct epithelial cell"
dP1,"decidual cell:mesodermal cell:placental villous trophoblast:epithelial cell of uterus:|||:placental epithelial cell:placental pericyte:placental villus capillary endothelial cell:pancreatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common dendritic progenitor:macrophage dendritic cell progenitor:conventional dendritic cell:double-positive, alpha-beta thymocyte:|||:Kit-positive macrophage dendritic cell progenitor:epithelial cell of esophageal gland proper:CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell:CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell"
dP2,"decidual cell:mesodermal cell:placental villous trophoblast:epithelial cell of uterus:|||:placental epithelial cell:placental pericyte:placental hematopoietic stem cell:pancreatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:macrophage dendritic cell progenitor:common dendritic progenitor:double-positive, alpha-beta thymocyte:|||:Kit-positive macrophage dendritic cell progenitor:CD24-positive, CD8 single-positive thymocyte:CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell:CD22-positive, CD38-low small pre-B cell"
dS1,"mesodermal cell:decidual cell:placental villous trophoblast:uterine smooth muscle cell:|||:placental epithelial cell:placental pericyte:placental villus capillary endothelial cell:placental amniotic mesenchymal stromal cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:Gr1-high myeloid suppressor cell:Gr1-low myeloid suppressor cell:CD1a-positive Langerhans cell:|||:CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor:CD71-low, GlyA-positive polychromatic erythroblast:cold sensing thermoreceptor cell:alveolar macrophage"
dS2,"mesodermal cell:decidual cell:placental villous trophoblast:uterine smooth muscle cell:|||:placental hematopoietic stem cell:placental pericyte:placental epithelial cell:pancreatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:common dendritic progenitor:DN2 thymocyte:hematopoietic stem cell:|||:imaginal disc cell:DN2b thymocyte:vasa recta descending limb cell:CD86-positive plasmablast"
dS3,"mesodermal cell:decidual cell:placental villous trophoblast:uterine smooth muscle cell:|||:placental hematopoietic stem cell:placental pericyte:placental epithelial cell:placental amniotic mesenchymal stromal cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common dendritic progenitor:DN3 thymocyte:Gr1-high myeloid suppressor cell:plasmacytoid dendritic cell:|||:nucleated secondary lens fiber:B220-positive CD38-positive naive B cell:CD38-negative unswitched memory B cell:B220-positive CD38-negative unswitched memory B cell"
fFB1,"placental villous trophoblast:mesodermal cell:epithelial cell of uterus:epithelial cell of alimentary canal:|||:pancreatic stellate cell:placental hematopoietic stem cell:placental pericyte:placental villus capillary endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myofibroblast cell:Fraction B precursor B cell:mesenchymal stem cell:bone marrow macrophage:|||:OFF-bipolar cell:type I cell of adrenal medulla:primary lens fiber:Be cell"
fFB2,"placental villous trophoblast:mesodermal cell:epithelial cell of uterus:epithelial cell of alimentary canal:|||:pancreatic stellate cell:placental epithelial cell:placental villus capillary endothelial cell:placental amniotic mesenchymal stromal cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myofibroblast cell:bone marrow macrophage:Fraction B precursor B cell:mesenchymal stem cell:|||:OFF-bipolar cell:type I cell of adrenal medulla:smooth muscle fiber of ascending colon:smooth muscle fiber of jejunum"
