source,target
B cell_Ly6d high(Peripheral_Blood),"mesodermal cell:vascular associated smooth muscle cell:|||:pigmented ciliary epithelial cell:B cell:follicular B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peripheral blood stem cell:epidermal cell (sensu arthropoda):mononuclear cell:brush cell of terminal bronchiole:|||:Be cell:B-1 B cell:type N enteroendocrine cell:parafollicular cell"
B cell_Ms4a1 high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:B cell:type D cell of small intestine:B-2 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:PP cell of intestine:|||:B-1 B cell:nodal myocyte:T cell:type G enteroendocrine cell"
B cell_Rps27rt high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:B cell:pigmented ciliary epithelial cell:follicular B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peripheral blood stem cell:duodenal goblet cell:basal cell of epithelium of terminal bronchiole:mononuclear cell:|||:Be cell:B-1 B cell:type G enteroendocrine cell:nodal myocyte"
B cell_Vpreb3 high(Muscle),"cell of skeletal muscle:adaxial cell:|||:B cell:T3 B cell:B-1 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:pancreatic PP cell:pro-B cell:pre-B-I cell:|||:B-2 B cell:parafollicular cell:type D enteroendocrine cell:nodal myocyte"
B cell_Vpreb3 high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:B cell:follicular B cell:Be cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peripheral blood stem cell:brush cell of terminal bronchiole:peripheral blood mononuclear cell:basal cell of epithelium of terminal bronchiole:|||:B-1 B cell:type D enteroendocrine cell:Feyrter cell:type G enteroendocrine cell"
Basal epithelial cell(Bladder),"bladder urothelial cell:urothelial cell of trigone of urinary bladder:renal filtration cell:gestational hematopoietic stem cell:|||:epithelial cell:glial cell:adepithelial cell:mammary gland epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell:epithelial cell of gall bladder:urothelial cell:parietal epithelial cell:|||:Kolmer-Agduhr neuron:lens epithelial cell:epithelial cell of lung:type G enteroendocrine cell"
Basophil(Bone-Marrow_c-kit),"mesodermal cell:bone cell:leukocyte:|||:basophil:mature basophil:bronchioalveolar stem cell:bone marrow cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophilic promyelocyte:basophilic erythroblast:basophilic metamyelocyte:basophilic myelocyte:|||:oncocyte:immature single positive thymocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:alpha-beta intraepithelial T cell"
Basophil(Lung),"epithelial cell of lung:pneumocyte:basal cell of epithelium of lobular bronchiole:brush cell of lobular bronchiole:|||:basophil:bronchioalveolar stem cell:oncocyte:gonadtroph:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:thyrotroph:mature basophil:mast cell:basophil progenitor cell:|||:immature basophil:CD4-negative CD8-negative gamma-delta intraepithelial T cell:eosinophil progenitor cell:intraepithelial lymphocyte"
Basophil_Prss34 high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:basophil:pigmented ciliary epithelial cell:bronchioalveolar stem cell:ooblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophil progenitor cell:basophilic erythroblast:basophil mast progenitor cell:peripheral blood stem cell:|||:oncocyte:non-pigmented ciliary epithelial cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:common lymphoid progenitor"
Brown adipose tissue(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:brown fat cell:skeletal muscle myoblast:mesenchymal stem cell:embryonic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipose microvascular endothelial cell:epithelial cell of glomerular capsule:brown preadipocyte:white fat cell:|||:neuronal stem cell:hematopoietic stem cell:fat cell:neuron"
Brown adipose tissue_Cidea high(Neonatal-Skin),"dermis lymphatic vessel endothelial cell:epithelial cell of skin gland:dermis blood vessel endothelial cell:reticular layer of dermis fibroblast:|||:brown fat cell:adult endothelial progenitor cell:oligodendrocyte:macrophage dendritic cell progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:fibroblast of pedal digit skin:neuron associated cell (sensu Vertebrata):epithelial cell of glomerular capsule:biogenic amine secreting cell:|||:endothelial cell of lymphatic vessel:conventional dendritic cell:type I pneumocyte:eosinophil progenitor cell"
