source,target
Macrophage_Lyz2 high(Ovary),"stromal cell of ovarian medulla:fetal derived definitive erythrocyte:embryonic fibroblast:primordial germ cell:|||:macrophage:inflammatory macrophage:alternatively activated macrophage:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multinucleated giant cell:chromaffin cell of right ovary:macrophage (sensu Diptera):macrophage derived foam cell:|||:melanophage:central nervous system macrophage:mast cell progenitor:intraepithelial lymphocyte"
Macrophage_Lyz2 high(Testis),"fetal derived definitive erythrocyte:gestational hematopoietic stem cell:embryonic fibroblast:seminiferous tubule epithelial cell:|||:macrophage:central nervous system macrophage:alternatively activated macrophage:inflammatory macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):Kupffer cell:macroglial cell:multinucleated giant cell:|||:melanophage:type II pneumocyte:professional antigen presenting cell:type I pneumocyte"
Macrophage_Ms4a6c high(Bone-Marrow),"mesodermal cell:leukocyte:bone cell:|||:bone marrow macrophage:macrophage:inflammatory macrophage:alternatively activated macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multinucleated giant cell:macrophage (sensu Diptera):mesenchymal stem cell of the bone marrow:common myeloid progenitor, CD34-positive:|||:melanophage:bone marrow cell:pericyte cell:mucosal type mast cell"
Macrophage_Ms4a6c high(Muscle),"cell of skeletal muscle:adaxial cell:|||:macrophage:microglial cell:central nervous system macrophage:alternatively activated macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):macrophage derived foam cell:multinucleated giant cell:inflammatory macrophage:|||:melanophage:endothelial cell of lymphatic vessel:multi-ciliated epithelial cell:pericyte cell"
Macrophage_Pf4 high(Bladder),"urothelial cell of trigone of urinary bladder:embryonic fibroblast:fetal derived definitive erythrocyte:primitive red blood cell:|||:macrophage:inflammatory macrophage:alternatively activated macrophage:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):multinucleated giant cell:macrophage derived foam cell:central nervous system macrophage:|||:band form neutrophil:melanophage:early lymphoid progenitor:megakaryocyte-erythroid progenitor cell"
Macrophage_Pf4 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:macrophage:microglial cell:central nervous system macrophage:inflammatory macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage derived foam cell:macrophage (sensu Diptera):Kupffer cell:macrophage dendritic cell progenitor:|||:alternatively activated macrophage:mesenchymal stem cell:melanophage:embryonic stem cell"
Macrophage_Pf4 high(Neonatal-Skin),"epithelial cell of skin gland:keratinocyte:hair germinal matrix cell:dermis lymphatic vessel endothelial cell:|||:macrophage:inflammatory macrophage:alternatively activated macrophage:central nervous system macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):multinucleated giant cell:macrophage derived foam cell:Kupffer cell:|||:melanophage:adult endothelial progenitor cell:professional antigen presenting cell:type II pneumocyte"
Macrophage_Pf4 high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:macrophage:alternatively activated macrophage:inflammatory macrophage:central nervous system macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):macrophage derived foam cell:macrophage dendritic cell progenitor:peripheral blood stem cell:|||:melanophage:pericyte cell:professional antigen presenting cell:mucosal type mast cell"
Macrophage_Retnla high(Muscle),"cell of skeletal muscle:adaxial cell:|||:macrophage:microglial cell:central nervous system macrophage:inflammatory macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):macrophage derived foam cell:Kupffer cell:macroglial cell:|||:alternatively activated macrophage:mesenchymal stem cell:melanophage:embryonic stem cell"
Macrophage_S100a4 high(Bone-Marrow),"mesodermal cell:leukocyte:bone cell:|||:macrophage:bone marrow macrophage:inflammatory macrophage:alternatively activated macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multinucleated giant cell:macrophage (sensu Diptera):common myeloid progenitor, CD34-positive:common myeloid progenitor:|||:melanophage:central nervous system macrophage:bone marrow cell:mast cell progenitor"
Macrophage_S100a4 high(Bone-Marrow_c-kit),"mesodermal cell:leukocyte:bone cell:|||:bone marrow macrophage:macrophage:alternatively activated macrophage:inflammatory macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):multinucleated giant cell:common myeloid progenitor:common myeloid progenitor, CD34-positive:|||:melanophage:bone marrow cell:multi-ciliated epithelial cell:mucosal type mast cell"
Macrophage_S100a4 high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:macrophage:inflammatory macrophage:alternatively activated macrophage:central nervous system macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macrophage (sensu Diptera):macrophage derived foam cell:macrophage dendritic cell progenitor:multinucleated giant cell:|||:melanophage:mast cell progenitor:mucosal type mast cell:pericyte cell"
Marcrophage_Cd74 high(Ovary),"fetal derived definitive erythrocyte:embryonic fibroblast:stromal cell of ovarian medulla:primordial germ cell:|||:pericyte cell:macrophage:alternatively activated macrophage:inflammatory macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multinucleated giant cell:macrophage (sensu Diptera):macrophage derived foam cell:central nervous system macrophage:|||:melanophage:endothelial cell of lymphatic vessel:retinal ganglion cell:erythrocyte"
Marginal zone B cell(Spleen),"marginal zone B cell:splenic marginal zone macrophage:mesodermal cell:mesenchymal stem cell of abdominal adipose:|||:B cell:B-2 B cell:B-1 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:retinal cone cell:germinal center B cell:imaginal disc cell:equatorial cone cell (sensu Endopterygota):|||:parafollicular cell:Feyrter cell:nodal myocyte:type D enteroendocrine cell"
Mast cell(Bone-Marrow),"mesodermal cell:leukocyte:bone cell:|||:T cell:mast cell:fat cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:mesenchymal stem cell of the bone marrow:mesenchymal stem cell of femoral bone marrow:|||:parafollicular cell:M cell of gut:Feyrter cell:nodal myocyte"
Mast cell(Neonatal-Calvaria),"calvarial osteoblast:|||:T cell:mast cell:fat cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mast cell progenitor:mesothelial cell of parietal pleura:sheath cell (sensu Nematoda):socket cell (sensu Nematoda):|||:type D enteroendocrine cell:B cell:type N enteroendocrine cell:M cell of gut"
Mast cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:T cell:mast cell:fat cell:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adult skeletal muscle myoblast:mucosal type mast cell:smooth muscle myoblast:mast cell progenitor:|||:B cell:parafollicular cell:type D enteroendocrine cell:type G enteroendocrine cell"
Mast cell(Neonatal-Skin),"epithelial cell of skin gland:taste receptor cell:stem cell of epidermis:neuromast hair cell:|||:T cell:mast cell:fat cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mucosal type mast cell:mast cell progenitor:connective tissue type mast cell:sheath cell (sensu Nematoda):|||:nodal myocyte:Feyrter cell:M cell of gut:B cell"
Mast cell(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:smooth muscle fiber of ileum:|||:T cell:mast cell:mucosal type mast cell:fat cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type D cell of small intestine:small intestine goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:M cell of gut:nodal myocyte:Feyrter cell:type N enteroendocrine cell"
Megakaryocyte progenitor cell(Bone-Marrow_c-kit),"mesodermal cell:leukocyte:bone cell:|||:megakaryocyte:megakaryocyte progenitor cell:hepatic stellate cell:pro-B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:megakaryocyte-erythroid progenitor cell:Kit-positive megakaryocyte progenitor cell:cardiac muscle myoblast:granulocyte monocyte progenitor cell:|||:Tr1 cell:pro-T cell:R4 photoreceptor cell:R2 photoreceptor cell"
Melanocyte(Neonatal-Skin),"dermal melanocyte:epidermal melanocyte:keratinocyte:epithelial cell of skin gland:|||:melanocyte:group 2 innate lymphoid cell, mouse:group 2 innate lymphoid cell:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:melanocyte of skin:melanocyte of foreskin:melanocyte of skin of face:melanocyte of eyelid:|||:primitive reticulocyte:mast cell:ameloblast:myelocyte"
Mesenchymal cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:M cell of gut:type G enteroendocrine cell:parafollicular cell:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell of adipose:mesenchymal stem cell:mesenchymal stem cell of abdominal adipose:mesenchyme condensation cell:|||:Kolmer-Agduhr neuron:B cell:type D enteroendocrine cell:Feyrter cell"
Mesenchymal stromal cell(Bladder),"mesodermal cell:renal filtration cell:gestational hematopoietic stem cell:primitive red blood cell:|||:mesenchymal stem cell:stromal cell:Kolmer-Agduhr neuron:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell of adipose:mesenchymal stem cell of umbilical cord:mesenchymal stem cell of abdominal adipose:amnion mesenchymal stem cell:|||:placental amniotic mesenchymal stromal cell:type D enteroendocrine cell:type N enteroendocrine cell:type G enteroendocrine cell"
Metanephric mesenchyme(Fetal_Kidney),"extraglomerular mesangial cell:glomerular mesangial cell:macula densa epithelial cell:glomerular visceral epithelial cell:|||:metanephric mesenchyme stem cell:endothelial cell of hepatic sinusoid:kidney cell:nephrocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:nephrogenic mesenchyme stem cell:cardiac mesenchymal cell:meso-epithelial cell:metanephric glomerular visceral epithelial cell:|||:eosinophil progenitor cell:early T lineage precursor:non-pigmented ciliary epithelial cell:interstitial cell of Cajal"
Microglia(Brain),"oligodendrocyte:central nervous system macrophage:striatum neuron:fibroblast of choroid plexus:|||:microglial cell:immature microglial cell:mature microglial cell:brain microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:macroglial cell:multinucleated giant cell:glial cell:microconidium:|||:type I pneumocyte:multi-ciliated epithelial cell:mesenchymal stem cell:mast cell progenitor"
Monocyte progenitor cell(Lung),"epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:pneumocyte:|||:CD14-positive monocyte:monocyte:hepatic stellate cell:Tr1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:megakaryocyte progenitor cell:cardiac muscle myoblast:granulocyte monocyte progenitor cell:preosteoblast:|||:primordial germ cell:oenocyte:pro-T cell:ionocyte"
Monocyte progenitor cell_Ctsg high(Bone-Marrow_c-kit),"mesodermal cell:leukocyte:bone cell:|||:CD14-positive monocyte:monocyte:oncocyte:Tr1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:cardiac muscle myoblast:megakaryocyte progenitor cell:|||:hepatic stellate cell:oenocyte:ionocyte:pro-T cell"
Monocyte progenitor cell_Prtn3 high(Bone-Marrow_c-kit),"mesodermal cell:leukocyte:bone cell:|||:CD14-positive monocyte:monocyte:ionocyte:pro-T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:cardiac muscle myoblast:megakaryocyte progenitor cell:|||:primordial germ cell:oncocyte:hepatic stellate cell:pro-B cell"
Monocyte progenitor(Bone-Marrow_c-kit),"mesodermal cell:leukocyte:bone cell:|||:monocyte:CD14-positive monocyte:oncocyte:oenocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common lymphoid progenitor:granulocyte monocyte progenitor cell:megakaryocyte progenitor cell:cardiac muscle myoblast:|||:primordial germ cell:ionocyte:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse"
Monocyte(Spleen),"marginal zone B cell:mesodermal cell:mesenchymal stem cell of abdominal adipose:splenic marginal zone macrophage:|||:monocyte:CD14-positive monocyte:primordial germ cell:oncocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:monoblast:promonocyte:oenocyte:ionocyte:|||:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse:oocyte:amniocyte"
Monocyte(Uterus),"epithelial cell of cervix:stromal cell of endometrium:placental villous trophoblast:columnar cell of endocervix:|||:monocyte:CD14-positive monocyte:oncocyte:oenocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:podocyte (sensu Diptera):promonocyte:monoblast:ionocyte:|||:primordial germ cell:group 2 innate lymphoid cell, mouse:group 2 innate lymphoid cell:oocyte"
Monocyte_Elane high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:monocyte:pigmented ciliary epithelial cell:CD14-positive monocyte:ionocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hemocyte (sensu Arthropoda):podocyte (sensu Diptera):peripheral blood stem cell:monoblast:|||:primordial germ cell:oncocyte:oenocyte:group 2 innate lymphoid cell, mouse"
Monocyte_F13a1 high(Peripheral_Blood),"mesodermal cell:vascular associated smooth muscle cell:|||:pigmented ciliary epithelial cell:monocyte:CD14-positive monocyte:ionocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hemocyte (sensu Arthropoda):podocyte (sensu Diptera):peripheral blood stem cell:myocyte of sinoatrial node:|||:primordial germ cell:oenocyte:oncocyte:group 2 innate lymphoid cell"
Monocyte_Mif high(Bone-Marrow),"mesodermal cell:leukocyte:bone cell:|||:monocyte:CD14-positive monocyte:oncocyte:primordial germ cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell of the bone marrow:common myeloid progenitor:common myeloid progenitor, CD34-positive:mesenchymal stem cell of femoral bone marrow:|||:oenocyte:ionocyte:group 2 innate lymphoid cell, mouse:group 2 innate lymphoid cell"
Monocyte_Prtn3 high(Bone-Marrow),"mesodermal cell:leukocyte:bone cell:|||:CD14-positive monocyte:monocyte:primordial germ cell:oenocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:mesenchymal stem cell of the bone marrow:hemocyte (sensu Arthropoda):|||:oncocyte:ionocyte:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse"
Multipotent progenitor_Ctla2a high(Bone-Marrow_c-kit),"mesodermal cell:leukocyte:bone cell:|||:bone marrow cell:multi fate stem cell:hepatic stellate cell:megakaryocyte-erythroid progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:hematopoietic oligopotent progenitor cell, lineage-negative:hematopoietic multipotent progenitor cell:|||:pro-B cell:pro-T cell:preosteoblast:mucosal type mast cell"
Muscle cell(Neonatal-Rib),"adaxial cell:|||:muscle cell:red muscle cell:Be cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardiac muscle cell (sensu Arthopoda):socket cell (sensu Nematoda):fast muscle cell:slow muscle cell:|||:T cell:type D enteroendocrine cell:Feyrter cell:parafollicular cell"
Muscle cell(Stomach),"mucous cell of stomach:gastric goblet cell:|||:muscle cell:Be cell:type G enteroendocrine cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peptic cell:red muscle cell:type D cell of stomach:surface mucosal cell of stomach:|||:type D enteroendocrine cell:parafollicular cell:Feyrter cell:type N enteroendocrine cell"
Muscle cell_Acta2 high(Neonatal-Rib),"adaxial cell:|||:muscle cell:red muscle cell:Be cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardiac muscle cell (sensu Arthopoda):tendon cell:socket cell (sensu Nematoda):smooth muscle cell of the internal thoracic artery:|||:type N enteroendocrine cell:Feyrter cell:nodal myocyte:B cell"
Muscle cell_Actc1 high(Neonatal-Calvaria),"calvarial osteoblast:|||:muscle cell:Be cell:nodal myocyte:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:tendon cell:smooth muscle cell of the internal thoracic artery:smooth muscle cell of the umbilical vein:smooth muscle cell of trachea:|||:type D enteroendocrine cell:Feyrter cell:T cell:type G enteroendocrine cell"
Muscle cell_Actc1 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:muscle cell:type G enteroendocrine cell:parafollicular cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:tendon cell:smooth muscle cell derived foam cell:cardiac muscle cell (sensu Arthopoda):smooth muscle cell of trachea:|||:Be cell:type D enteroendocrine cell:T cell:Feyrter cell"
Muscle cell_Actc1 high(Neonatal-Rib),"adaxial cell:|||:muscle cell:red muscle cell:Be cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardiac muscle cell (sensu Arthopoda):tendon cell:socket cell (sensu Nematoda):smooth muscle cell of trachea:|||:Feyrter cell:type D enteroendocrine cell:type G enteroendocrine cell:type N enteroendocrine cell"
Muscle cell_Actc1 high(Neonatal-Skin),"epithelial cell of skin gland:prickle cell:stem cell of epidermis:dermis lymphatic vessel endothelial cell:|||:muscle cell:red muscle cell:Be cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of large intestine:cardiac muscle cell (sensu Arthopoda):smooth muscle cell of small intestine:tendon cell:|||:type G enteroendocrine cell:M cell of gut:B cell:parafollicular cell"
Muscle cell_Junb high(Neonatal-Calvaria),"calvarial osteoblast:|||:muscle cell:Be cell:parafollicular cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of the internal thoracic artery:smooth muscle cell of the umbilical vein:mononuclear cell of umbilical cord:cardiac muscle cell (sensu Arthopoda):|||:T cell:type D enteroendocrine cell:B cell:type G enteroendocrine cell"
Muscle cell_Lrrc15 high(Neonatal-Skin),"epithelial cell of skin gland:prickle cell:stem cell of epidermis:taste receptor cell:|||:muscle cell:red muscle cell:Be cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of large intestine:smooth muscle cell of small intestine:cardiac muscle cell (sensu Arthopoda):socket cell (sensu Nematoda):|||:T cell:M cell of gut:nodal myocyte:type D enteroendocrine cell"
Muscle cell_Mgp high(Uterus),"epithelial cell of cervix:stromal cell of endometrium:myometrial cell:glandular cell of endometrium:|||:muscle cell:red muscle cell:Be cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of sphincter of pupil:smooth muscle cell of large intestine:smooth muscle cell of small intestine:smooth muscle cell of the esophagus:|||:Feyrter cell:nodal myocyte:B cell:type D enteroendocrine cell"
Muscle cell_Myl9 high(Neonatal-Calvaria),"calvarial osteoblast:|||:muscle cell:Be cell:Feyrter cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of the internal thoracic artery:smooth muscle cell of the umbilical vein:cardiac muscle cell (sensu Arthopoda):smooth muscle cell of the umbilical artery:|||:nodal myocyte:type N enteroendocrine cell:parafollicular cell:type G enteroendocrine cell"
Muscle cell_Myl9 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:muscle cell:M cell of gut:parafollicular cell:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of small intestine:cardiac muscle cell (sensu Arthopoda):smooth muscle cell derived foam cell:smooth muscle cell of trachea:|||:Be cell:B cell:T cell:type D enteroendocrine cell"
Muscle cell_Pcp4 high(Uterus),"epithelial cell of cervix:stromal cell of endometrium:myometrial cell:glandular cell of endometrium:|||:muscle cell:red muscle cell:Be cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of sphincter of pupil:granule cell precursor:smooth muscle cell of the esophagus:smooth muscle cell of cecum:|||:type D enteroendocrine cell:type G enteroendocrine cell:type N enteroendocrine cell:parafollicular cell"
Muscle cell_Tnnc1 high(Muscle),"cell of skeletal muscle:adaxial cell:|||:muscle cell:type N enteroendocrine cell:type G enteroendocrine cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of sigmoid colon:smooth muscle cell of the esophagus:smooth muscle cell of trachea:muscle precursor cell:|||:Be cell:B cell:T cell:type D enteroendocrine cell"
Muscle cell_Tnnc2 high(Muscle),"cell of skeletal muscle:adaxial cell:|||:muscle cell:type N enteroendocrine cell:M cell of gut:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of sigmoid colon:smooth muscle cell of the esophagus:muscle precursor cell:smooth muscle cell of trachea:|||:Be cell:Feyrter cell:T cell:type D enteroendocrine cell"
Muscle progenitor cell(Muscle),"cell of skeletal muscle:adaxial cell:|||:hepatic stellate cell:Tr1 cell:pro-T cell:pro-B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardiac muscle myoblast:mesenchymal stem cell:preosteoblast:myeloid lineage restricted progenitor cell:|||:R8 photoreceptor cell:R7 photoreceptor cell:R2 photoreceptor cell:R1 photoreceptor cell"
Myelinating oligodendrocyte(Brain),"oligodendrocyte:oligodendrocyte precursor cell:central nervous system neuron:central nervous system pericyte:|||:type I pneumocyte:oocyte:chondrocyte:perineuronal satellite cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:spinal cord oligodendrocyte:myelinating Schwann cell:myeloid leukocyte:periarticular chondrocyte:|||:Bm4 B cell:enterocyte:ionocyte:primordial germ cell"
NK Cell(Lung),"epithelial cell of lung:mesodermal cell:brush cell of lobular bronchiole:pneumocyte:|||:natural killer cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mucous neck cell:type N enteroendocrine cell:pro-NK cell:pre-natural killer cell:|||:parafollicular cell:nodal myocyte:M cell of gut:B cell"
NK cell(Bladder),"urothelial cell of trigone of urinary bladder:bladder urothelial cell:mesodermal cell:renal filtration cell:|||:natural killer cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mucous neck cell:pro-NK cell:smooth muscle cell of bladder:pre-natural killer cell:|||:T cell:type D enteroendocrine cell:parafollicular cell:nodal myocyte"
NK cell(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:natural killer cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:acinar cell of salivary gland:luminal epithelial cell of mammary gland:mammary gland epithelial cell:|||:type N enteroendocrine cell:nodal myocyte:parafollicular cell:B cell"
NK cell(Spleen),"marginal zone B cell:mesodermal cell:splenic metallophillic macrophage:mesenchymal stem cell of abdominal adipose:|||:natural killer cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mucous neck cell:pro-NK cell:pre-natural killer cell:type B pancreatic cell:|||:T cell:M cell of gut:type D enteroendocrine cell:B cell"
