source,target
CD45    T cell,"extraglomerular mesangial cell:arcuate artery cell:kidney cortical cell:kidney cortex tubule cell:|||:T cell:Feyrter cell:type N enteroendocrine cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gamma-delta T cell:T-helper 1 cell:double negative thymocyte:B-1a B cell:|||:type D enteroendocrine cell:type G enteroendocrine cell:M cell of gut:parafollicular cell"
CD45    macrophage,"kidney glomerular epithelial cell:kidney pelvis urothelial cell:kidney outer medulla cell:kidney inner medulla cell:|||:macrophage:inflammatory macrophage:alternatively activated macrophage:central nervous system macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:tissue-resident macrophage:elicited macrophage:thymic macrophage:splenic macrophage:|||:melanophage:splenic red pulp macrophage:secondary lymphoid organ macrophage:microglial cell"
CD45    plasma cell,"extraglomerular mesangial cell:kidney pelvis cell:glomerular cell:macula densa epithelial cell:|||:plasma cell:Kolmer-Agduhr neuron:Feyrter cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:IgE plasma cell:IgA plasma cell:IgG plasma cell:IgM plasma cell:|||:T cell:type G enteroendocrine cell:type D enteroendocrine cell:type N enteroendocrine cell"
CD79a B cell,"marginal zone B cell:mesodermal cell:mesenchymal stem cell of abdominal adipose:splenic marginal zone macrophage:|||:B cell:Be cell:B-1 B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B cell, CD19-positive:germinal center B cell:B-1a B cell:T3 B cell:|||:T cell:type D enteroendocrine cell:Feyrter cell:parafollicular cell"
CD8+ T,"pneumocyte:mesodermal cell:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:T-helper 17 cell:common dendritic progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD25-positive, alpha-beta regulatory T cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell:Tc1 cell:|||:effector memory CD8-positive, alpha-beta T cell:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:activated CD8-positive, alpha-beta T cell, human:effector CD8-positive, alpha-beta T cell"
Capillary,"pneumocyte:epithelial cell of lung:epithelial cell of lower respiratory tract:mesodermal cell:|||:placental villus capillary endothelial cell:kidney outer medulla peritubular capillary cell:kidney cortex peritubular capillary cell:peritubular capillary endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pillar cell:cap cell:papillary tips cell:polar body:|||:capillary endothelial cell:endothelial cell of high endothelial venule:kidney capillary endothelial cell:glomerular capillary endothelial cell"
Capillary Aerocyte,"pneumocyte:brush cell of lobular bronchiole:basal cell of epithelium of lobular bronchiole:epithelial cell of lung:|||:oocyte:mast cell:ameloblast:astrocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:primary oocyte:primary spermatocyte:capillary endothelial cell:pillar cell:|||:placental villus capillary endothelial cell:fetal derived definitive erythrocyte:kidney capillary endothelial cell:glomerular capillary endothelial cell"
Capillary Type 1 Cell,"pneumocyte:epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:|||:pigmented ciliary epithelial cell:conventional dendritic cell:Be1 Cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:papillary tips cell:capillary endothelial cell:pillar cell:type I pneumocyte:|||:R1 photoreceptor cell:M cell of gut:T cell:nodal myocyte"
Capillary Type 2 Cell,"pneumocyte:epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:|||:pigmented ciliary epithelial cell:plasmacytoid dendritic cell:Be2 cell:R2 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:papillary tips cell:capillary endothelial cell:type II pneumocyte:pillar cell:|||:B-2 B cell:Feyrter cell:B cell:type D enteroendocrine cell"
Ccr7+ Dendritic,"pneumocyte:epithelial cell of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:dendritic cell, human:dendritic cell:type I pneumocyte:interstitial cell of Cajal:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:liver dendritic cell:mature conventional dendritic cell:dermal dendritic cell:follicular dendritic cell:|||:langerin-positive dermal dendritic cell:immature CD14-positive dermal dendritic cell:mature CD14-positive dermal dendritic cell:CD1a-positive dermal dendritic cell"
