source,target
29,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T-helper 9 cell:type II pneumocyte:plasmacytoid dendritic cell:group 2 innate lymphoid cell:|||:CD22-positive, CD38-low small pre-B cell:CD27-negative gamma-delta T cell:plasmablast:myeloid dendritic cell"
3,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-positive dendritic cell:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:R3 photoreceptor cell:DN3 thymocyte:T3 B cell:|||:CD38-negative IgG-negative class switched memory B cell:CD38-negative unswitched memory B cell:CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell:Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell"
30,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:fetal liver hematopoietic progenitor cell:liver dendritic cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:naive thymus-derived CD4-positive, alpha-beta T cell:group 3 innate lymphoid cell:R3 photoreceptor cell:regulatory B cell:|||:CD11c-negative plasmacytoid dendritic cell:transitional stage B cell:Kit-low, CD34-positive eosinophil progenitor cell:CD34-positive, CD38-negative hematopoietic stem cell"
31,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-negative dendritic cell:liver dendritic cell:Kupffer cell:fetal liver hematopoietic progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:type I pneumocyte:ILC1:group 3 innate lymphoid cell:|||:Slamf1-positive multipotent progenitor cell:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:immature CD1a-positive Langerhans cell:CD1a-positive Langerhans cell"
32,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:plasmacytoid dendritic cell:group 3 innate lymphoid cell:group 2 innate lymphoid cell:|||:CD34-positive, CD38-negative multipotent progenitor cell:paraganglia type 2 cell:T-helper 2 cell:type 2 cone bipolar cell (sensu Mus)"
33,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-negative dendritic cell:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:R3 photoreceptor cell:DN3 thymocyte:transitional stage B cell:|||:prostate stem cell:CD34-positive, CD38-negative hematopoietic stem cell:CD38-negative IgG-negative class switched memory B cell:CD34-positive, GlyA-negative erythroid progenitor cell"
34,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:CD4-positive CD11b-positive dendritic cell:R3 photoreceptor cell:R4 photoreceptor cell:|||:CD34-positive, CD38-negative multipotent progenitor cell:CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell:CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell:CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell"
35,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-positive dendritic cell:liver dendritic cell:fetal liver hematopoietic progenitor cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:R3 photoreceptor cell:R5 photoreceptor cell:DN3 thymocyte:|||:Vgamma1.1-positive, Vdelta6.3-positive thymocyte:immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte:type 3 otic fibrocyte:type 5 otic fibrocyte"
36,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:fetal liver hematopoietic progenitor cell:liver dendritic cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:R3 photoreceptor cell:R6 photoreceptor cell:CD16-positive myeloid dendritic cell:|||:CD22-positive, CD38-low small pre-B cell:type 3 otic fibrocyte:mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte:immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte"
37,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-negative dendritic cell:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:R7 photoreceptor cell:R3 photoreceptor cell:DN3 thymocyte:|||:CD38-negative immature B cell:type-7 epithelial cell of thymus:mature T cell:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell"
38,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-negative dendritic cell:liver CD103-positive dendritic cell:fetal liver hematopoietic progenitor cell:liver dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:CD8_alpha-positive CD11b-negative dendritic cell:R3 photoreceptor cell:R8 photoreceptor cell:|||:CD38-negative unswitched memory B cell:CD38-positive unswitched memory B cell:CD34-positive, CD38-positive common lymphoid progenitor:CD34-positive, CD38-positive granulocyte monocyte progenitor"
39,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T-helper 9 cell:group 3 innate lymphoid cell:R3 photoreceptor cell:DN3 thymocyte:|||:CD38-negative immature B cell:Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell:lymphocyte of B lineage, CD19-positive:B cell, CD19-positive"
4,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD4-positive CD11b-positive dendritic cell:R4 photoreceptor cell:DN4 thymocyte:CD94-negative natural killer cell, mouse:|||:activated CD4-positive, alpha-beta T cell:CD4-negative, CD8-negative type I NK T cell secreting interleukin-4:CD4-positive, CD8-intermediate double-positive thymocyte:T-helper 1 cell"
5,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:R5 photoreceptor cell:Bm5 B cell:serotonergic neuron:B-1a B cell:|||:CD56-negative, CD161-positive immature natural killer cell, human:type 5 cone bipolar cell (sensu Mus):CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell:CD25-positive, CD27-positive immature gamma-delta T cell"
6,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:R6 photoreceptor cell:MHC-II-positive classical monocyte:CD16-positive myeloid dendritic cell:MHC-II-high non-classical monocyte:|||:CD56-positive, CD161-positive immature natural killer cell, human:CD86-positive plasmablast:type 8 cone bipolar cell (sensu Mus):type 6 cone bipolar cell (sensu Mus)"
7,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:R7 photoreceptor cell:Tc17 cell:T-helper 17 cell:CD27-positive gamma-delta T cell:|||:CD7-positive lymphoid progenitor cell:Kit-negative, Ly-76 high orthochromatophilic erythroblasts:CD71-low, GlyA-positive polychromatic erythroblast:Kit-negative, Ly-76 high polychromatophilic erythroblast"
8,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8_alpha-positive CD11b-negative dendritic cell:R8 photoreceptor cell:CD8alpha-positive thymic conventional dendritic cell:CD8alpha-negative thymic conventional dendritic cell:|||:CD8-positive, alpha-beta memory T cell, CD45RO-positive:central memory CD8-positive, alpha-beta T cell:Tc2 cell:Tc1 cell"
9,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:liver CD103-positive dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T-helper 9 cell:CD94-positive natural killer cell, mouse:CD94-negative natural killer cell, mouse:Ly49D-positive natural killer cell, mouse:|||:B cell, CD19-positive:CD69-positive double-positive thymocyte:CD94-negative, Ly49CI-negative natural killer cell, mouse:Ly49CI-positive natural killer cell, mouse"
