source,target
Bronchial Vessel 1_P1,"mesothelial cell of visceral pleura:epithelial cell of lung:pneumocyte:brush cell of lobular bronchiole:|||:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:embryonic stem cell:gamma-delta intraepithelial T cell:intraepithelial lymphocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:bronchial goblet cell:bronchial epithelial cell:bronchioalveolar stem cell:bronchial smooth muscle cell:|||:alpha-beta intraepithelial T cell:neuronal stem cell:common lymphoid progenitor:early lymphoid progenitor"
Bronchial Vessel 1_P3,"mesothelial cell of visceral pleura:epithelial cell of lung:pneumocyte:brush cell of lobular bronchiole:|||:embryonic stem cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:gamma-delta intraepithelial T cell:alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:bronchial goblet cell:bronchial epithelial cell:bronchioalveolar stem cell:bronchial smooth muscle cell:|||:intraepithelial lymphocyte:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:embryonic blood vessel endothelial progenitor cell:CD4-positive, alpha-beta intraepithelial T cell"
Bronchial Vessel 2_P1,"mesothelial cell of visceral pleura:epithelial cell of lung:pneumocyte:brush cell of lobular bronchiole:|||:embryonic stem cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:gamma-delta intraepithelial T cell:alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:bronchial goblet cell:bronchial epithelial cell:bronchioalveolar stem cell:bronchial smooth muscle cell:|||:neuronal stem cell:intraepithelial lymphocyte:CD4-positive, alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
Bronchial Vessel 2_P3,"mesothelial cell of visceral pleura:epithelial cell of lung:pneumocyte:brush cell of lobular bronchiole:|||:alpha-beta intraepithelial T cell:common lymphoid progenitor:early lymphoid progenitor:embryonic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:bronchial goblet cell:bronchial epithelial cell:bronchioalveolar stem cell:bronchial smooth muscle cell:|||:neuronal stem cell:intraepithelial lymphocyte:CD4-positive, alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
CD4+ Memory/Effector T_P1,"mesodermal cell:epithelial cell of lower respiratory tract:mesothelial cell of visceral pleura:pneumocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:embryonic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be1 Cell:chemoreceptor cell:Be2 cell:Be cell:|||:endothelial cell of lymphatic vessel:conventional dendritic cell:megakaryocyte-erythroid progenitor cell:early T lineage precursor"
CD4+ Memory/Effector T_P2,"mesodermal cell:epithelial cell of lower respiratory tract:mesothelial cell of visceral pleura:pneumocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:embryonic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be2 cell:chemoreceptor cell:Be1 Cell:Be cell:|||:enterochromaffin-like cell:endothelial cell of lymphatic vessel:eosinophil progenitor cell:conventional dendritic cell"
CD4+ Memory/Effector T_P3,"mesodermal cell:mesothelial cell of visceral pleura:epithelial cell of lower respiratory tract:pneumocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:embryonic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:chemoreceptor cell:Be1 Cell:Be2 cell:Be cell:|||:common dendritic progenitor:enterochromaffin-like cell:conventional dendritic cell:eosinophil progenitor cell"
CD4+ Naive T_P1,"pneumocyte:mesothelial cell of visceral pleura:epithelial cell of lung:mesodermal cell:|||:intraepithelial lymphocyte:retinal ganglion cell:early T lineage precursor:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD38-positive naive B cell:DN1 thymic pro-T cell:CD38-negative naive B cell:B220-positive CD38-positive naive B cell:|||:alpha-beta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:conventional dendritic cell:common dendritic progenitor"
CD4+ Naive T_P2,"pneumocyte:mesothelial cell of visceral pleura:epithelial cell of lung:brush cell of lobular bronchiole:|||:intraepithelial lymphocyte:retinal ganglion cell:early T lineage precursor:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD38-positive naive B cell:DN2 thymocyte:CD38-negative naive B cell:B220-positive CD38-positive naive B cell:|||:alpha-beta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:conventional dendritic cell:common dendritic progenitor"
CD4+ Naive T_P3,"pneumocyte:mesothelial cell of visceral pleura:epithelial cell of lung:brush cell of lobular bronchiole:|||:CD4-positive, alpha-beta intraepithelial T cell:intraepithelial lymphocyte:conventional dendritic cell:common dendritic progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD38-positive naive B cell:DN3 thymocyte:CD38-negative naive B cell:B220-positive CD38-positive naive B cell:|||:alpha-beta intraepithelial T cell:early T lineage precursor:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:type I pneumocyte"
CD8+ Memory/Effector T_P1,"mesodermal cell:epithelial cell of lower respiratory tract:mesothelial cell of visceral pleura:pneumocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:effector T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:megakaryocyte-erythroid progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be1 Cell:Be2 cell:chemoreceptor cell:CD8-positive, alpha-beta regulatory T cell:|||:mucosal type mast cell:endothelial cell of lymphatic vessel:embryonic stem cell:eosinophil progenitor cell"
CD8+ Memory/Effector T_P2,"mesodermal cell:mesothelial cell of visceral pleura:epithelial cell of lower respiratory tract:pneumocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:effector T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:megakaryocyte-erythroid progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be2 cell:CD8-positive, alpha-beta regulatory T cell:chemoreceptor cell:Be1 Cell:|||:mucosal type mast cell:conventional dendritic cell:embryonic stem cell:enterochromaffin-like cell"
CD8+ Memory/Effector T_P3,"mesodermal cell:mesothelial cell of visceral pleura:epithelial cell of lower respiratory tract:pneumocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:effector T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:megakaryocyte-erythroid progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:chemoreceptor cell:CD8-positive, alpha-beta regulatory T cell:Be1 Cell:Be2 cell:|||:eosinophil progenitor cell:early T lineage precursor:common dendritic progenitor:enterochromaffin-like cell"
CD8+ Naive T_P1,"pneumocyte:mesothelial cell of visceral pleura:epithelial cell of lung:brush cell of lobular bronchiole:|||:CD4-positive, alpha-beta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:common dendritic progenitor:CD38-positive naive B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD38-negative naive B cell:B220-positive CD38-positive naive B cell:DN1 thymic pro-T cell:DN4 thymocyte:|||:early T lineage precursor:intraepithelial lymphocyte:conventional dendritic cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell"
