source	target
CD8 Proliferating	mesodermal cell:vascular associated smooth muscle cell:|||:type I pneumocyte:mature neutrophil:neutrophil:type II pneumocyte:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD8-positive, alpha-beta regulatory T cell:prolactin secreting cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:protein secreting cell:|||:exhausted T cell:Fraction A pre-pro B cell:gamma-delta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
CD8 TCM_1	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:myeloid dendritic cell:common myeloid progenitor, CD34-positive:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:double negative thymocyte:|||:naive thymus-derived CD8-positive, alpha-beta T cell:common myeloid progenitor:effector CD8-positive, alpha-beta T cell:activated CD8-positive, alpha-beta T cell, human
CD8 TCM_2	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:common myeloid progenitor:common dendritic progenitor:transit amplifying cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:Tc1 cell:|||:effector CD8-positive, alpha-beta T cell:effector memory CD8-positive, alpha-beta T cell:central memory CD8-positive, alpha-beta T cell:naive thymus-derived CD8-positive, alpha-beta T cell
CD8 TCM_3	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:common dendritic progenitor:conventional dendritic cell:transit amplifying cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:Tc1 cell:|||:activated CD8-positive, alpha-beta T cell, human:effector memory CD8-positive, alpha-beta T cell:common myeloid progenitor, CD34-positive:double negative thymocyte
CD8 TEM_1	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:blood cell:myeloid dendritic cell:CD8-positive, alpha-beta regulatory T cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:double negative T regulatory cell:|||:naive thymus-derived CD8-positive, alpha-beta T cell:effector memory CD8-positive, alpha-beta T cell:double negative thymocyte:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell
CD8 TEM_2	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:blood cell:CD8-positive, alpha-beta regulatory T cell:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:Tc1 cell:|||:Tc17 cell:central memory CD8-positive, alpha-beta T cell:effector memory CD8-positive, alpha-beta T cell:naive thymus-derived CD8-positive, alpha-beta T cell
CD8 TEM_3	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:blood cell:common dendritic progenitor:myeloid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD25-positive, alpha-beta regulatory T cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell:|||:activated CD8-positive, alpha-beta T cell, human:effector memory CD8-positive, alpha-beta T cell:central memory CD8-positive, alpha-beta T cell:double negative thymocyte
CD8 TEM_4	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:blood cell:common dendritic progenitor:myeloid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD25-positive, alpha-beta regulatory T cell:CD8-positive, CD28-negative, alpha-beta regulatory T cell:|||:central memory CD8-positive, alpha-beta T cell:naive thymus-derived CD8-positive, alpha-beta T cell:activated CD8-positive, alpha-beta T cell, human:effector CD8-positive, alpha-beta T cell
CD8 TEM_5	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:blood cell:common dendritic progenitor:myeloid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:|||:effector memory CD8-positive, alpha-beta T cell:activated CD8-positive, alpha-beta T cell, human:naive thymus-derived CD8-positive, alpha-beta T cell:Tc17 cell
CD8 TEM_6	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:blood cell:common dendritic progenitor:myeloid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell:|||:Tc17 cell:Tc1 cell:double negative thymocyte:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell
Doublet	mesodermal cell:vascular associated smooth muscle cell:|||:early T lineage precursor:endothelial cell of lymphatic vessel:extravillous trophoblast:lymphoid tissue–inducer cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:myotube:iridoblast:DN3 thymocyte:DN4 thymocyte:|||:IgG-negative double negative memory B cell:Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell:CD4-positive, CD8-intermediate double-positive thymocyte:double negative thymocyte
Eryth	mesodermal cell:vascular associated smooth muscle cell:|||:T-helper 9 cell:naive thymus-derived CD4-positive, alpha-beta T cell:periperhal blood mesothelial cell:cord blood hematopoietic stem cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:erythrocyte:pericyte cell:erythrophore:erythroblast:|||:common myeloid progenitor, CD34-positive:CD34-negative, GlyA-negative proerythroblast:erythroid progenitor cell, mammalian:Kit-positive erythroid progenitor cell
HSPC	vascular associated smooth muscle cell:mesodermal cell:|||:primitive red blood cell:nucleate erythrocyte:kidney blood vessel cell:kidney arterial blood vessel cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:hematopoietic stem cell:short term hematopoietic stem cell:long term hematopoietic stem cell:neuronal stem cell:|||:CD8-positive, alpha-beta thymocyte:branchiomotor neuron:CD4-positive, alpha-beta thymocyte:specialized cardiac myocyte
ILC	vascular associated smooth muscle cell:mesodermal cell:|||:Langerhans cell:primitive erythroid progenitor:group 3 innate lymphoid cell:ILC1:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:group 2 innate lymphoid cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:plasmacytoid dendritic cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:NKp46-positive innate lymphoid cell, human:CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human:group 2 innate lymphoid cell, human:immature innate lymphoid cell
MAIT	mesodermal cell:vascular associated smooth muscle cell:|||:cord blood hematopoietic stem cell:platelet:peripheral blood mononuclear cell:mononuclear cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:type II pneumocyte:type I pneumocyte:mucosal type mast cell:mast cell progenitor:|||:hematopoietic multipotent progenitor cell:inflammatory macrophage:classical monocyte:neuromast hair cell
NK Proliferating	mesodermal cell:vascular associated smooth muscle cell:|||:type I pneumocyte:neutrophil:mature neutrophil:type II pneumocyte:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:prolactin secreting cell:enkephalin secreting cell:protein secreting cell:keratinocyte:|||:exhausted T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:intraepithelial lymphocyte
NK_1	mesodermal cell:vascular associated smooth muscle cell:|||:mononuclear cell:peripheral blood mononuclear cell:pro-NK cell:primitive red blood cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:immature natural killer cell:CD56-positive, CD161-positive immature natural killer cell, human:CD56-negative, CD161-positive immature natural killer cell, human:NK1.1-positive natural killer cell, mouse:|||:immature NK T cell stage II:immature NK T cell stage III:immature NK T cell stage IV:Dx5-negative, NK1.1-positive immature natural killer cell, mouse
NK_2	vascular associated smooth muscle cell:mesodermal cell:|||:mononuclear cell:peripheral blood mononuclear cell:pro-NK cell:cord blood hematopoietic stem cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD56-negative, CD161-positive immature natural killer cell, human:CD56-positive, CD161-positive immature natural killer cell, human:immature natural killer cell:NK1.1-positive natural killer cell, mouse:|||:DN2 thymocyte:CD4-negative, CD8-negative type I NK T cell secreting interleukin-4:immature NK T cell:type II NK T cell secreting interferon-gamma
NK_3	vascular associated smooth muscle cell:mesodermal cell:|||:peripheral blood mononuclear cell:mononuclear cell:pro-NK cell:kidney blood vessel cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD56-positive, CD161-positive immature natural killer cell, human:immature natural killer cell:CD56-negative, CD161-positive immature natural killer cell, human:NK1.1-positive natural killer cell, mouse:|||:immature NK T cell stage I:activated CD4-positive type I NK T cell:CD4-positive type I NK T cell:type II NK T cell
NK_4	mesodermal cell:vascular associated smooth muscle cell:|||:mononuclear cell:peripheral blood mononuclear cell:pro-NK cell:enucleate erythrocyte:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD56-positive, CD161-positive immature natural killer cell, human:CD56-negative, CD161-positive immature natural killer cell, human:immature natural killer cell:CD94-negative natural killer cell, mouse:|||:Ly49D-positive natural killer cell, mouse:NKp46-positive innate lymphoid cell, human:CD94-positive Ly49CI-positive natural killer cell, mouse:Ly49CI-negative natural killer cell, mouse
NK_CD56bright	mesodermal cell:vascular associated smooth muscle cell:|||:regulatory B cell:blood cell:common dendritic progenitor:conventional dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD16-negative, CD56-bright natural killer cell, human:elicited macrophage:anchoring trophoblast:induced T-regulatory cell:|||:pro-NK cell:retinal ganglion cell:CD4-positive, CD25-positive, alpha-beta regulatory T cell:Langerhans cell
Plasma	vascular associated smooth muscle cell:mesodermal cell:|||:embryonic gland plasmatocyte:IgA short lived plasma cell:short lived plasma cell:long lived plasma cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:plasma cell:plasmablast:plasmatocyte:pancreatic stellate cell:|||:CD11c-low plasmacytoid dendritic cell:CD8_alpha-negative plasmactyoid dendritic cell:thymic plasmacytoid dendritic cell:IgE plasma cell
Plasmablast	mesodermal cell:vascular associated smooth muscle cell:|||:plasmablast:IgD plasmablast:IgA plasmablast:IgE plasmablast:|||:plasmablast:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:|||:IgM plasmablast:IgG plasmablast:CD86-positive plasmablast:ameloblast
Platelet	mesodermal cell:vascular associated smooth muscle cell:|||:platelet:blood cell:endothelial cell of lymphatic vessel:early lymphoid progenitor:|||:platelet:cartwheel heterochromatin:CD4-positive, alpha-beta memory T cell:naive thymus-derived CD4-positive, alpha-beta T cell:|||:epiblast cell:blastoderm cell:non-terminally differentiated cell:plasma cell
Treg Memory	mesodermal cell:vascular associated smooth muscle cell:|||:regulatory T cell:CD4-positive, CD25-positive, alpha-beta regulatory T cell:double negative T regulatory cell:induced T-regulatory cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:IgM memory B cell:IgA memory B cell:IgE memory B cell:IgG memory B cell:|||:central memory CD4-positive, alpha-beta T cell:effector memory CD4-positive, alpha-beta T cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:IgG-negative double negative memory B cell
Treg Naive	mesodermal cell:vascular associated smooth muscle cell:|||:CD4-positive, CD25-positive, alpha-beta regulatory T cell:regulatory T cell:double negative T regulatory cell:natural T-regulatory cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:nitrergic neuron:induced T-regulatory cell:DN2 thymocyte:DN4 thymocyte:|||:B220-low CD38-positive naive B cell:B220-positive CD38-positive naive B cell:CD38-positive naive B cell:CD38-negative naive B cell
cDC1	vascular associated smooth muscle cell:mesodermal cell:|||:conventional dendritic cell:leukocyte:erythrocyte:primitive red blood cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:cardioblast:common dendritic progenitor:interstitial cell of Cajal:multi-ciliated epithelial cell:|||:CD141-positive myeloid dendritic cell:mature CD16-positive myeloid dendritic cell:CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human:CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human
cDC2_1	mesodermal cell:vascular associated smooth muscle cell:|||:plasmacytoid dendritic cell:conventional dendritic cell:blood cell:cardioblast:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD1a-positive Langerhans cell:multi-ciliated epithelial cell:interstitial cell of Cajal:common dendritic progenitor:|||:CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor:Kit-positive, Sca1-positive common lymphoid progenitor:myeloid dendritic cell:CD25-positive, CD27-positive immature gamma-delta T cell
cDC2_2	mesodermal cell:vascular associated smooth muscle cell:|||:conventional dendritic cell:blood cell:common dendritic progenitor:interstitial cell of Cajal:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:plasmacytoid dendritic cell:CD1a-positive Langerhans cell:multi-ciliated epithelial cell:cardioblast:|||:myeloid dendritic cell:CD22-positive, CD38-low small pre-B cell:CD27-positive gamma-delta T cell:mature CD8_alpha-negative CD11b-negative dendritic cell
dnT_1	mesodermal cell:vascular associated smooth muscle cell:|||:type I pneumocyte:peripheral blood mononuclear cell:cord blood hematopoietic stem cell:periperhal blood mesothelial cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:double negative T regulatory cell:conventional dendritic cell:DN4 thymocyte:pro-T cell:|||:odontoclast:type D enteroendocrine cell:fibroblast of peridontal ligament:dentate gyrus of hippocampal formation stellate cell
